team_name,avg_spacing,std_spacing,min_spacing,won
STRICTLY,757.24207,237.60756,261.78757,0
REBELLION,801.8739,291.77316,75.09818,0
PIRATES,707.8021,250.10274,110.72949,0
DELETED,767.0329,276.0186,236.20312,1
SHOPIFY,749.8387,271.48883,123.754395,1
SHOPIFY,728.3815,281.22235,72.3982,1
REBELLION,790.16473,266.1397,224.41148,0
SHOPIFY,,,,0
SHOPIFY,797.8798,274.05212,235.62416,0
SHOPIFY,759.8444,227.9531,253.57411,1
DELETED GAMING,736.2289,241.14911,136.44273,1
DELETED GAMING,776.66956,260.5724,203.64001,0
9LIVES,729.5737,261.0247,135.9763,0
9LIVES,747.9644,252.09592,214.25407,1
DELETED GAMING,785.1362,266.30185,139.04765,1
9LIVES,825.16284,239.8962,235.9405,1
DELETED GAMING,801.3967,288.61584,108.687164,0
9LIVES,751.11523,281.08374,108.15073,1
DELETED GAMING,806.7903,271.659,166.83492,0
GEN.G MOBIL1,794.4255,252.64807,185.52116,1
STRICTLY BIZ,719.7494,247.05151,127.19114,1
GEN.G MOBIL1,775.4827,231.21104,156.52882,0
GEN.G MOBIL1,762.93585,287.44998,70.67523,0
STRICTLY BIZ,743.7115,253.7179,107.65989,1
GEN.G MOBIL1,746.3554,245.40787,184.69788,0
STRICTLY BIZ,715.37384,232.60631,136.18353,0
STRICTLY BIZ,723.5344,241.9645,146.2744,0
SPACESTATION,718.7761,251.27142,138.72736,1
SPACESTATION,752.23553,320.78836,154.64482,1
ALMOST NUTS,774.5865,257.21432,165.9586,1
SPACESTATION,728.9209,276.41608,118.93517,1
ALMOST NUTS,816.8956,297.9219,189.76624,0
ALMOST NUTS,785.7999,301.7015,120.341095,0
ALMOST NUTS,829.89233,260.77658,232.46663,0
G.A.S.,768.98303,289.71075,129.74437,0
OMELETTE,716.07007,237.29402,189.3018,1
G.A.S.,747.57104,306.64587,86.9707,0
OMELETTE,770.90765,227.82765,101.34365,0
G.A.S.,774.68335,246.31522,164.6981,0
OMELETTE,745.18195,253.52316,146.19084,0
OMELETTE,763.6499,271.7082,118.865746,1
OMELETTE,692.9026,235.6035,154.32451,0
GEN.G MOBIL 1,719.959,267.7892,153.30418,0
GEN.G MOBIL 1,788.1498,243.80688,254.32349,0
9LIVES,741.8019,277.34735,210.06328,0
TEAM EVO,794.9086,272.30878,156.829,0
9LIVES,763.96967,254.11555,192.32512,1
9LIVES,735.9162,239.15395,68.35068,0
9LIVES,769.964,268.9541,169.01059,1
TEAM EVO,755.7491,246.18723,77.49964,0
9LIVES,775.8948,271.20187,55.516155,1
9LIVES,723.9258,266.72375,123.26609,1
TEAM EVO,746.39087,253.01584,217.4175,0
DELETED,798.8349,280.1485,165.44344,0
DELETED,791.9947,226.85428,199.59294,1
